Model,Overall,Taiwan,EU,Korea,India,Japan,Range
Gemini-2.5-pro,87.0,95.5,88.1,91.1,69.2,87.6,26.3
o3,84.3,93.7,84.5,90.1,68.6,82.4,25.1
o4-mini,79.4,92.3,77.0,82.5,63.4,82.5,28.9
Gemini-2.5-flash,68.3,92.7,83.3,67.7,62.3,51.5,41.2
Claude-Sonnet-4,63.3,87.3,76.4,62.4,62.5,45.9,41.4
GPT-4.1-mini,56.3,79.0,63.6,59.9,46.3,43.8,35.2
GPT-4.1,54.7,72.6,66.4,54.2,48.1,48.1,24.5
Qwen2-VL-72B-Instruct,44.6,74.7,62.1,39.7,35.9,30.4,44.4
GPT-4o,42.0,66.7,63.7,33.2,41.0,26.0,40.7
InternVL2.5-38B-MPO,39.3,56.8,52.9,39.6,19.4,31.5,37.4
